Query,Año,Citas,Type,Titulo,Abstract,Revista_or_evento,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14
"""soccer"" and ""analytics"" and ""world""",2013,235,Article,The numbers game: Why everything you know about soccer is wrong,no_abstract,Penguin,"Anderson, C.","Sally, D.",-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,23,Article,Cutting-edge marketing analytics: Real world cases and data sets for hands on learning,no_abstract,Pearson Education,"Venkatesan, R.","Farris, P.","Wilcox, R. T.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,8,Thesis,Applying machine learning to event data in soccer,"Soccer is the world's most popular sport but published research in soccer analytics has yet to attain the same level of sophistication as analytics in other professional sports. We hope to discover new knowledge from a soccer ball-event dataset by applying different machine learning techniques. In this thesis we present three experiments that address three interesting questions in soccer that involve game prediction and team style. We approach each question by constructing features using the ball-event data, where an event is a pass, shot, etc., and applying machine learning algorithms. In the first experiment, we construct three models that use different features to predict which team won a given game, without any knowledge of goals. We achieve a top accuracy rate of 0.84 using an L2-regularized logistic regression classifier. We also investigate the feature weights to learn relationships between game events and a team's chances of success. In the second experiment we try several classifiers to predict which team produced the sequence of ball-events that occurred during a game. Despite the relatively small number of events per game, we achieved an accuracy rate of 0.345 for a 20-team classification task when using a RBF SVM. By learning which sequences are characteristic of teams we are potentially able to discover if successful teams have a common style. We also learn the efficacy of transforming ball-events into predefined symbols. Finally, in the third experiment, we predict which team attempted a given set of passes. We first construct 2D histograms of the locations of the origins of the passes. We then use the histograms as features in a 20-team classification task and discover that teams have characteristic passing styles, by achieving an accuracy rate of 0.735 using a learned K-NN classifier. The results demonstrate that approaching soccer analytics with a machine learning framework is effective. In addition to achieving good classification performance, we are able to discover useful, potentially actionable, knowledge by investigating the models and features that we construct.",Massachusetts Institute of Technology,"Kerr, M. G. S.",-,-,-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,77,Article,The harsh rule of the goals: Data-driven performance indicators for football teams,"Sports analytics in general, and football (soccer in USA) analytics in particular, have evolved in recent years in an amazing way, thanks to automated or semi-automated sensing technologies that provide high-fidelity data streams extracted from every game. In this paper we propose a data-driven approach and show that there is a large potential to boost the understanding of football team performance. From observational data of football games we extract a set of pass-based performance indicators and summarize them in the H indicator. We observe a strong correlation among the proposed indicator and the success of a team, and therefore perform a simulation on the four major European championships (78 teams, almost 1500 games). The outcome of each game in the championship was replaced by a synthetic outcome (win, loss or draw) based on the performance indicators computed for each team. We found that the final rankings in the simulated championships are very close to the actual rankings in the real championships, and show that teams with high ranking error show extreme values of a defense/attack efficiency measure, the Pezzali score. Our results are surprising given the simplicity of the proposed indicators, suggesting that a complex systems' view on football data has the potential of revealing hidden patterns and behavior of superior quality.",2015 IEEE International Conference on Data Science and Advanced Analytics (DSAA),"Cintia, P.","Giannotti, F.","Pappalardo, L.","Pedreschi, D.","Malvaldi, M.",-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,55,Article,Challenges and Perspectives in Big Eye-Movement Data Visual Analytics,"Eye tracking has become an important technology to understand where and when people pay visual attention to a scene. Nowadays, eye tracking technology is moving from the laboratory to the real-world, producing more data at higher rates with extensive amounts of different data types. If this trend continues, eye tracking moves into the direction of big data. This requires developing new evaluation approaches beyond statistical analysis and visual inspection to find patterns in the data. As in big data analysis, visual analytics is one possible direction for eye movement data analysis. We look at current visual analytics methods and discuss how they can be applied to big eye-movement data. In this position paper we describe challenges for big eye-movement data visual analytics and discuss which techniques may be useful to address these challenges. Finally, we describe a number of potential scenarios for big eye-movement data.",2015 Big Data Visual Analytics (BDVA),"Blascheck, T.","Burch, M.","Raschke, M.","Weiskopf, D.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,81,Article,Soccer video and player position dataset,"This paper presents a dataset of body-sensor traces and corresponding videos from several professional soccer games captured in late 2013 at the Alfheim Stadium in Tromsø, Norway. Player data, including field position, heading, and speed are sampled at 20Hz using the highly accurate ZXY Sport Tracking system. Additional per-player statistics, like total distance covered and distance covered in different speed classes, are also included with a 1Hz sampling rate. The provided videos are in high-definition and captured using two stationary camera arrays positioned at an elevated position above the tribune area close to the center of the field. The camera array is configured to cover the entire soccer field, and each camera can be used individually or as a stitched panorama video. This combination of body-sensor data and videos enables computer-vision algorithms for feature extraction, object tracking, background subtraction, and similar, to be tested against the ground truth contained in the sensor traces.",Proceedings of the 5th ACM Multimedia Systems Conference,"Pettersen, S. A.","Johansen, D.","Johansen, H.","Berg-Johansen, V.","Gaddam, V. R.","Mortensen, A.","Langseth, R.","Griwodz, C.","Stensland, H. K.","Halvorsen, P.",-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,1,Article,Analysis of patterns of offensive of the Spanish National Soccer Team in the 2014 FIFA® World Cup,no_abstract,Revista Brasileira de Educação Física e Esporte,"SANTOS, R. D. M. M.","MORAES, E. L.","COSTA, I. T. D.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,16,Article,Visual Analytics of Twitter Conversations about Corporate Sponsors of FC Barcelona and Juventus at the 2015 UEFA Final,"Until now, little research has been conducted to analyse Twitter conversations about the corporate sponsors of football clubs. The conventional and most widely used method has been to use content analysis to assess the sentiment of the tweets that were sent. However, this approach may be inadequate because sports fans may be unlikely to mention a corporate sponsor in the text they tweet. This study demonstrates the use of visual analytics to assess conversations about corporate sponsors by examining the images people tweet.",International Journal of Sports Marketing and Sponsorship.,"Jensen, R. W.","Limbu, Y. B.","Spong, Y.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2013,153,Article,SoccerStories: A Kick-off for Visual Soccer Analysis,"This article presents SoccerStories, a visualization interface to support analysts in exploring soccer data and communicating interesting insights. Currently, most analyses on such data relate to statistics on individual players or teams. However, soccer analysts we collaborated with consider that quantitative analysis alone does not convey the right picture of the game, as context, player positions and phases of player actions are the most relevant aspects. We designed SoccerStories to support the current practice of soccer analysts and to enrich it, both in the analysis and communication stages. Our system provides an overview+detail interface of game phases, and their aggregation into a series of connected visualizations, each visualization being tailored for actions such as a series of passes or a goal attempt. To evaluate our tool, we ran two qualitative user studies on recent games using SoccerStories with data from one of the world's leading live sports data providers. The first study resulted in a series of four articles on soccer tactics, by a tactics analyst, who said he would not have been able to write these otherwise. The second study consisted in an exploratory follow-up to investigate design alternatives for embedding soccer phases into word-sized graphics. For both experiments, we received a very enthusiastic feedback and participants consider further use of SoccerStories to enhance their current workflow.",IEEE transactions on visualization and computer graphics,"Perin, C.","Vuillemot, R.","Fekete, J. D.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,17,Article,Large-scale World Cup 2014 outcome prediction based on Tumblr posts,"With the 2014 FIFA World Cup kicking off on June 12th, billions of fans across the world have turned their attention toward host country Brazil to root for their teams. Soc- cer (or football, if you prefer) fans are loud; you need only remember the last World Cup’s infamous vuvuzelas for a demonstration. But fans are not only loud in stadiums. They also make their voices heard across social media. And though you may assume these fans are just blowing their vuvuzelas into the social abyss, if you listen closely, you will discover a treasure trove of data, including an answer to the most important question of all: ”Who will win?”. In this pa- per we use Tumblr posts collected during 4 months prior to the start of the World Cup to predict the outcome of every game. We describe the prediction algorithm as well as the analysis of the performance results, including comparison of the predictions of several competing methods.",KDD workshop on large-scale sports analytics,"Radosavljevic, V.","Grbovic, M.","Djuric, N.","Bhamidipati, N.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2013,18,Article,Combining Video and Player Telemetry for Evidence-based Decisions in Soccer,"Technology is changing how soccer clubs train and interact with their supporters. Systems that provide ac- quisition and visualization of low-level player telemetry, like distance covered and speed, are already being widely adopted. A key observation is that such data when correlated with actual in-game video footage is a powerful tool for evidence-based decisions. As data volume and complexity grow, efficient tools for auto- mated high-precision retrieval become essential. This paper describes the unique combination of a radio-based sensor platform and several custom video retrieval systems in operational use at Tromsø Idrettslag (TIL), a Norwegian premier league soccer club. The systems have been developed using an experimental computer- science method where several prototypes were built and deployed for evaluation in close collaboration with the intended users. Although our method of computer-system prototyping has not yielded commercial quality products, it has enabled us to construct several novel systems combining low-level player telemetry with video retrieval, annotations, and user-centric security.",icSPORTS,"Johansen, H. D.","Pettersen, S. A.","Halvorsen, P.","Johansen, D.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,59,Article,Statistical analysis for the soccer matches of the first Bundesliga,"Statistical analysis for the soccer matches of the First Bundesliga; i.e., the first national soccer league of Germany, during the period Aug. 5 to Nov. 27, 2011 is made in order to see which parameters are more important for the result of a match. It is found that the goal efficiency, defined by the number of goals divided by the number of shots, is by far the most important parameter. The parameters of the second to the fourth importance are the number of shots, the number of passes and the number of ball contacts respectively. The present analysis shows that the quality of shots, represented by the goal efficiency, is more important than the quantity of shots for winning a soccer game. Regarding the long time dispute over the issue whether “direct play” or “possession play” is more effective, the present result favours “direct play” because it has higher goal efficiency compared to “possession play” according to the literature. Nevertheless, the length of passing sequence may not be the major factor related to the goal efficiency. Effective use of team possessions to create favourable shooting conditions may be more important for raising the goal efficiency. Much further analysis remains to be carried out in this direction.",International Journal of Sports Science & Coaching,"Yue, Z.","Broich, H.","Mester, J.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,27,Article,Beating the bookmakers: leveraging statistics and Twitter microposts for predicting soccer results,"In this paper, we investigate the feasibility of using collec- tive knowledge for predicting the winner of a soccer game. Specifically, we developed different methods that extract and aggregate the information contained in over 50 million Twitter microposts to predict the outcome of soccer games, considering methods that use the Twitter volume, the sen- timent towards teams and the score predictions made by Twitter users. Apart from collective knowledge-based pre- diction methods, we also implemented traditional statistical methods. Our results show that the combination of different types of methods using both statistical knowledge and large sources of collective knowledge can beat both expert and bookmaker predictions. Indeed, we were for instance able to realize a monetary profit of almost 30% when betting on soccer games of the second half of the English Premier League 2013-2014.",KDD Workshop on Large-Scale Sports Analytics,"Godin, F.","Zuallaert, J.","Vandersmissen, B.","De Neve, W.","Van de Walle, R.",-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,30,Article,"Mixed-initiative social media analytics at the World Bank: Observations of citizen sentiment in Twitter data to explore ""trust"" of political actors and state institutions and its relationship to social protest","This paper discusses a project that studied the relationship between citizen trust and social protest using visual analysis of approximately 11 million sentiment classified Tweets from the period of the 2014 Brazilian World Cup. The results of the study reveal that the 2014 World Cup protests in Brazil sprang from a wide range of grievances coupled with a relative sense of deprivation compared with emergent comparative `standards'. This sense of grievance gave rise to sentiments that activated online protest that may have led to other forms of social protest, such as demonstrations. The paper describes an innovative approach to big data analytics-mixed initiative social media analytics - and discusses the potential of using big data in social science research of this kind, as well as some of the open methodological, technical and ethical issues still to be addressed.",2015 IEEE International Conference on Big Data (Big Data),"Calderon, N. A.","Fisher, B.","Hemsley, J.","Ceskavich, B.","Jansen, G.","Marciano, R.","Lemieux, V. L.",-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2013,8,Article,Analysis of a real-world HTTP segment streaming case,"Today, adaptive HTTP segment streaming is a popular way to deliver video content to users. The benefits of HTTP segment streaming include its scalability, high performance and easy deployment, especially the possibility to reuse the already deployed HTTP infrastructure. However, current research focuses merely on client side statistics like for example achieved video qualities and adaption algorithms. To quantify the properties of such streaming systems from a service provider point of view, we have analyzed both sender and receiver side logging data provided by a popular Norwegian streaming provider. For example, we observe that more than 90% of live streaming clients send their requests for the same video segment with an inter-arrival time of only 10 seconds. Moreover, the logs indicate that the server sends substantially less data than is actually reported to be received by the clients, and the origin server streams data to less clients than there really are. Based on these facts, we conclude that HTTP segment streaming really makes use of the HTTP cache infrastructure without the need to change anything in the parts of Internet that are not controlled by the streaming provider.",Proceedings of the 11th European Conference on Interactive TV and Video,"Kupka, T.","Griwodz, C.","Halvorsen, P.","Johansen, D.","Hovden, T.",-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,16,Article,Social set visualizer: A set theoretical approach to big social data analytics of real-world events,"Current state-of-the-art in big social data analytics is largely limited to graph theoretical approaches such as social network analysis (SNA) informed by the social philosophical approach of relational sociology. This paper proposes and illustrates an alternate holistic approach to big social data analytics, social set analysis (SSA), which is based on the sociology of associations, mathematics of set theory, and advanced visual analytics of event studies. We illustrate our new approach by applying it to relate real-world events with their reflections in terms of user interactions on social media platforms. We present and discuss a theoretical and conceptual model of social data followed by a formal description of our technique based on set theory and event studies with a real-world social data example from Facebook. We then illustrate our new approach by reporting on the design, development, and evaluation results of a state-of-the-art visual analytics dashboard, the Social Set Visualizer (SoSeVi). Using SoSeVi, we conducted a real-world case study that consists of approximately 90 million Facebook user interactions from 11 different companies that have been mentioned in the traditional media in relation to the garment factory accidents in Bangladesh, and analyze the results. The enterprise application domain for the dashboard is corporate social responsibility (CSR) and the targeted end-users are CSR researchers and practitioners. The design of the dashboard was based on the social set analysis approach to computational social science mentioned above. The development of the dashboard involved cutting-edge open source visual analytics libraries (D3.js) and creation of new visualizations such as of actor mobility across time and space, conversational comets, and more. Evaluation of the dashboard consisted of technical testing, usability testing, and domain-specific testing with CSR students and yielded positive results. In conclusion, we discuss the new analytical approach of social set analysis and conclude with a discussion of the benefits of set theoretical approaches based on the social philosophical approach of associational sociology.",015 IEEE International Conference on Big Data (Big Data),"Flesch, B.","Vatrapu, R.","Mukkamala, R. R.","Hussain, A.",-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2014,9,Article,Skill importance in women’s soccer,"Soccer analytics often follow one of two approaches: 1) regression models on number of shots taken or goals scored to predict match winners, or 2) spatial and/or temporal analysis of plays for evaluation of strategy. We propose a new model to evaluate skill importance in soccer. Play by play data were collected on 22 NCAA Division I Women’s Soccer matches with a new skill notation system. Using a Bayesian approach, we model play sequences as discrete absorbing Markov chains. Using posterior distributions, we estimate the probability of 35 distinct offensive skills leading to a shot during a single possession.",Journal of Quantitative Analysis in Sports,"Heiner, M.","Fellingham, G. W.","Thomas, C.",-,-,-,-,-,-,-,-,-,-,-
"""soccer"" and ""analytics"" and ""world""",2015,22,Article,Healthcare informatics and analytics framework,"Healthcare industry is constantly undergoing changes owing to the advancements made in its medical and technological dimensions. Healthcare Informatics has evolved over decades by leveraging upon best of the computer technologies available. It has come a long way from being just a database to a comprehensive source of useful information for analytics and research. Emergence of technology paradigms like Big Data, Internet of Things (IoT), Complex Even Processing (CEP), Cloud Computing etc are changing the way things were. Healthcare informatics is now at juncture to find a complete solution to all its woes by adopting an integrated solution framework based on Big Data, IoT and CEP. This paper proposes one such framework which can act as reference for implementing a holistic healthcare informatics and analytics ecosystem.",2015 International Conference on Computer Communication and Informatics (ICCCI),"Sheriff, C. I.","Naqishbandi, T.","Geetha, A.",-,-,-,-,-,-,-,-,-,-,-
Machine learning SCIENTIST IN THE SOCCER,2020,19,Article,A Machine Learning Approach to Assess Injury Risk in Elite Youth Football Players,"To assess injury risk in elite-level youth football players based on anthropometric, motor coordination and physical performance measures with a machine learning approach.",Medicine and science in sports and exercise,"Rommers, N.,","Rössler, R.","Verhagen, E.","Vandecasteele, F.","Verstockt, S.","Vaeyens, R.","Witvrouw, E",-,-,-,-,-,-,-
soccer and economics impacts,2017,7,Article,Rivalries in US Professional Soccer,"This paper investigates factors that contribute to attendance in Major League Soccer with a primary focus on the effect of repeat rivalry matches during a season. Using ordinary least squares, a panel of 2,193 matches (6 seasons) finds significant effects for a variety of match determinants including how rivalries are defined in the estimation. With an increased focus on creating rivalries, the data supports potential diminishing returns from overscheduling of rivalry matches.",Rivalries in US professional soccer.,"Wooten, J. (2017).",-,-,-,-,-,-,-,-,-,-,-,-,-
Machine learning SCIENTIST IN THE SOCCER,2018,1,Article,Prediction learning model for soccer matches outcomes,"Sport is a global business into which passionate fans and smart corporations pour hundreds of billions of dollars. Particularly, football soccer detonates a great movement of money in bets, sponsorships, attendance to parties, sale of t-shirts and accessories, etc. Professional soccer has been in the market for quite some time. The sports management of soccer is awash with data, which has allowed the generation of several metrics associated with the individual and team performance. The aim is to find mechanisms to obtain competitive advantages. In this paper, we propose a procedure for predicting the outcome of a soccer match. The procedure consist of a Bayesian Model based on rank position along with a Machine Learning Model based on historical data of matches. The procedure was tested using a data set containing the results of over 200,000 soccer matches from different soccer leagues around the world and for predicting the outcome of the FIFA world cup 2018. The results shoed an improvement in accuracy and rank probability error compared with other methodologies.",In 2018 Seventeenth Mexican International Conference on Artificial Intelligence,"Hervert-Escobar, L.","Matis, T. I.","Hernandez-Gress, N.",-,-,-,-,-,-,-,-,-,-,-
data science in soccer,2016,287,Article,Big data and tactical analysis in elite soccer: future challenges and opportunities for sports science,"Increasingly tactical decision making in elite soccer is also investigated using machine learning (ML) algorithms based on game position data (Bialkowski et al. 2014a, b; Fernando et al. 2015; Xinyu et al. 2013). Machine learning algorithms allow to identify specific data patterns in large datasets by building an a priori unknown model from the data (Haykin 2009; Jordan and Mitchell 2015; Waljee and Higgins 2010).",Springerplus,"Rein, R.","Memmert, D.",-,-,-,-,-,-,-,-,-,-,-,-
soccer graphs analysis,2018,24,Article,Data-driven visual performance analysis in soccer: An exploratory prototype,"In soccer, understanding of collective tactical behavior has become an integral part in sports analysis at elite levels. Evolution of technology allows collection of increasingly larger and more specific data sets related to sport activities in cost-effective and accessible manner. All this information is minutely scrutinized by thousands of analysts around the globe in search of answers that can in the long-term help increase the performance of individuals or teams in their respective competitions. As the volume of data increases in size, so does the complexity of the problem and the need for suitable tools that leverage the cognitive load involved in the investigation. It is proven that visualization and computer-vision techniques, correctly applied to the context of a problem, help data analysts focus on the relevant information at each stage of the process, and generally lead to a better understanding of the facts that lie behind the data. In the current study, we presented a software prototype capable of assisting researchers and performance analysts in their duty of studying group collective behavior in soccer games and trainings. We used geospatial data acquired from a professional match to demonstrate its capabilities in two different case studies. Furthermore, we successfully proved the efficiency of the different visualization techniques implemented in the prototype and demonstrated how visual analysis can effectively improve some of the basic tasks employed by sports experts on their daily work, complementing more traditional approaches.",Frontiers in Psychology,"Benito Santos, A","Theron, R.","Losada, A.","Sampaio, J. E.","Lago-Peñas, C.",-,-,-,-,-,-,-,-,-
soccer graphs anyltics,2020,3,Article,CAVA: A Visual Analytics System for Exploratory Columnar Data Augmentation Using Knowledge Graphs,"Most visual analytics systems assume that all foraging for data happens before the analytics process; once analysis begins, the set of data attributes considered is fixed. Such separation of data construction from analysis precludes iteration that can enable foraging informed by the needs that arise in-situ during the analysis.",IEEE Transactions on Visualization and Computer Graphics,"Cashman, D.","Das, S.","Heimerl, F.","Liu, C.","Humayoun, S. R.","Chang, R.","Xu, S.",-,-,-,-,-,-,-
